city,lab_type,count
Charlotte,Fab Lab,2
Charlottesville,DIYBio Lab,1
Charlottetown,Fab Lab,1
Chattanooga,Fab Lab,1
Chemnitz,Fab Lab,1
Chengannur,Fab Lab,1
Chengdu,Fab Lab,1
Chennai,Fab Lab,1
Cheruthuruthy,Fab Lab,1
Cheyenne,DIYBio Lab,1
Chicago,DIYBio Lab,1
Chicago,Fab Lab,2
Chieri,Fab Lab,1
Chihuahua,Fab Lab,1
Chirayinkeezhu,Fab Lab,1
Christchurch,Fab Lab,1
Château-Thierry,Fab Lab,1
Châteauroux,Fab Lab,1
Cintegabelle,Fab Lab,1
Ciudad Juárez,Fab Lab,1
Ciudad de México,Fab Lab,1
Clane,Fab Lab,1
Clayton,Fab Lab,1
Clearwater,Fab Lab,1
Clermont-Ferrand,Fab Lab,1
Cleveland,Fab Lab,1
Cloughjordan,Fab Lab,1
Coal Center,Fab Lab,1
Coalbrookdale,Fab Lab,1
Cockermouth,Fab Lab,1
Coimbatore,Fab Lab,1
Cologne,Fab Lab,1
Columbia,DIYBio Lab,1
Columbus,DIYBio Lab,1
Columbus,Fab Lab,1
Commenailles,Fab Lab,1
Comodoro Rivadavia,Fab Lab,1
Compiègne,Fab Lab,1
Comunanza,Fab Lab,1
Conegliano,Fab Lab,1
Contea,Fab Lab,1
Copenhagen,DIYBio Lab,1
Cork,DIYBio Lab,1
Corte Madera,Fab Lab,1
Corti,Fab Lab,1
Cotonou,Fab Lab,2
Cottbus,Fab Lab,1
Coudures,Fab Lab,1
Coventry,Fab Lab,1
Creazzo,Fab Lab,1
Crest,Fab Lab,1
Crookston,Fab Lab,1
Cuenca,Fab Lab,1
Cuiabá,Fab Lab,1
Culiacán Rosales,Fab Lab,1
Cuneo,Fab Lab,2
Curitiba,Fab Lab,1
Cáceres,Fab Lab,1
Córdoba,Fab Lab,2
D'Abadie,Fab Lab,1
Daejeon,Fab Lab,1
Dakar,Fab Lab,2
Dallas,DIYBio Lab,1
Danang,Fab Lab,1
Darlinghurst,Fab Lab,1
Darmstadt,Fab Lab,1
Davenport,Fab Lab,1
Dax,Fab Lab,1
Dayton,Fab Lab,3
Dazaifu-shi,Fab Lab,1
Deer Isle,Fab Lab,1
Denver,DIYBio Lab,1
Derry,Fab Lab,1
Detroit,Fab Lab,2
Deventer,Fab Lab,1
Dhaka,Fab Lab,1
Differdange,Fab Lab,1
Dijon,Fab Lab,2
Doha,Fab Lab,1
Dokki,Fab Lab,1
Dongguan,Fab Lab,1
Donostia-San Sebastian,Fab Lab,1
Dorado,Fab Lab,1
Dortmund,Fab Lab,1
Douai,Fab Lab,1
Dourados,Fab Lab,1
Dresden,Fab Lab,1
Dripping Springs,Fab Lab,1
Dronten,Fab Lab,2
Dubai,Fab Lab,5
Dumfries,Fab Lab,1
Durham,DIYBio Lab,1
Durham,Fab Lab,1
Durham ,Fab Lab,1
